F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
2025/2026,LSF4070," Soins De La Maternité, Sante De La Reproduction Et Pédiatrie",61.0,CFPSFM,04,semestre1,,16.0,16.0,,,,,oui
2025/2026,LSF4070," Soins De La Maternité, Sante De La Reproduction Et Pédiatrie",61.0,CFPSFM,04,semestre1,,16.0,16.0,,,,,oui
2025/2026,ISGRGC512,Equations Aux Derivees Partielles Pour L’Ingenieur,50.0,BCI,03,semestre1,2.0,30.0,30.0,,,,,oui
2025/2026,ISGRCMP512,Equations Aux Derivees Partielles Pour L’Ingenieur,50.0,CMP,03,semestre1,2.0,30.0,30.0,,,,,oui
2025/2026,LSI4070," Soins Maternels, Santé Reproductive Et Pédiatrie ",50.0,SI,04,semestre1,,16.0,16.0,,,,,oui
2025/2026,LSI4090, Soins Infirmiers Communautaires Et Psychiatriques,50.0,SI,04,semestre1,,16.0,16.0,,,,,oui
2025/2026,LSF4010, Préparation Psychoprophylactique À L’Accouchement,50.0,CFPSFM,04,semestre1,1.0,12.0,12.0,,,,,oui
2025/2026,ISGRQSRI551,Gestion Des Risques Et Catastrophes Industrielles,49.0,QSRI,03,semestre1,3.0,45.0,45.0,,,,,oui
2025/2026,ISGRCMP552,Analyse Des Systemes Et Gestion De La Maintenance,49.0,CMP,03,semestre1,3.0,45.0,45.0,,,,,oui
2025/2026,ISGRQSRI512,Equation Aux Derivees Partielles Pour Ingenieur,47.0,QSRI,03,semestre1,2.0,30.0,30.0,,,,,oui
2025/2026,ISGRQSRI543,"Analyse Dimensionnelle
Et Theorie Des Maquettes",47.0,QSRI,03,semestre1,2.0,30.0,30.0,,,,,oui
2025/2026,LSI4100, Séminaires En Soins Infirmiers Professionnels,46.0,SI,04,semestre2,0.0,100.0,100.0,,,,,oui
2025/2026,ISGRGL541,"Concepts Generaux Des
Systèmes D’Information",44.0,IGL,03,semestre1,3.0,45.0,45.0,,,,,oui
2025/2026,ISGRQSRI552,"Introduction A La Gestion
De La Maintenance",43.0,QSRI,03,semestre1,3.0,45.0,45.0,,,,,oui
2025/2026,LSF4031," Obstétrique, Maïeutique, Démarche Clinique",43.0,CFPSFM,04,semestre1,1.0,12.0,12.0,,,,,oui
2025/2026,LSF4050," Santé Génésique Des Femmes, Pharmacologie",42.0,CFPSFM,04,semestre1,,16.0,16.0,,,,,oui
2025/2026,LSF4100, Séminaires En Sage- Femme Professionnels,41.0,CFPSFM,04,semestre2,0.0,100.0,100.0,,,,,oui
2025/2026,LSF4032, Diagnostic Anténatal Et Médecine Fœtale,40.0,CFPSFM,04,semestre1,1.0,12.0,12.0,,,,,oui
2025/2026,ISGRGL542,"Introduction A La
Securite Informatique",39.0,IGL,03,semestre1,4.0,60.0,60.0,,,,,oui
2025/2026,LSI4050, Soins Intensifs Et Urgences Médicales ,39.0,SI,04,semestre1,,16.0,16.0,,,,,oui
2025/2026,LSF4080, Stage Professionnelle En Sage - Femme,38.0,CFPSFM,04,semestre2,0.0,100.0,100.0,,,,,oui
2025/2026,ISGRQSRI523,Introduction Au Developpement Durable,37.0,QSRI,03,semestre1,2.0,30.0,30.0,,,,,oui
2025/2026,LSI4080, Pratique Professionnelle Infirmière ,37.0,SI,04,semestre2,0.0,100.0,100.0,,,,,oui
2025/2026,ISGRGL551,"Administration Des
Bases De Donnees",35.0,IGL,03,semestre1,3.0,45.0,45.0,,,,,oui
2025/2026,LSI4010, Fondamentaux Des Soins Infirmiers,34.0,SI,04,semestre1,,16.0,16.0,,,,,oui
