codtc,codfil,codniv,codsem
TCACCO2,ELN,02,S071024-131024
TCACCO2,ELN,02,S281024-031124
TCACCO2,ELN,02,S300924-061024
TCACCO2,MEC,02,S071024-131024
TCACCO2,MEC,02,S281024-031124
TCACCO2,MEC,02,S300924-061024
TCADEL2,BTSET,02,S071024-131024
TCADEL2,BTSET,02,S281024-031124
TCADEL2,ELN,02,S071024-131024
TCADEL2,ELN,02,S281024-031124
TCANDI2,BTSET,02,S071024-131024
TCANDI2,BTSET,02,S281024-031124
TCANDI2,ELN,02,S071024-131024
TCANDI2,ELN,02,S281024-031124
TCAPPM2,LAB,02,S071024-131024
TCAPPM2,LAB,02,S281024-031124
TCAPPM2,LAB,02,S300924-061024
TCAPPM2,NUS,02,S071024-131024
TCAPPM2,NUS,02,S281024-031124
TCAPPM2,NUS,02,S300924-061024
TCBIOP2,LAB,02,S071024-131024
TCBIOP2,LAB,02,S281024-031124
TCBIOP2,LAB,02,S300924-061024
TCBIOP2,LT,02,S071024-131024
TCBIOP2,LT,02,S281024-031124
TCBIOP2,LT,02,S300924-061024
TCBIOP2,NUS,02,S071024-131024
TCBIOP2,NUS,02,S281024-031124
TCBIOP2,NUS,02,S300924-061024
TCBLOD,LAB,02,S071024-131024
TCBLOD,LAB,02,S281024-031124
TCBLOD,LAB,02,S300924-061024
TCBLOD,NUS,02,S071024-131024
TCBLOD,NUS,02,S281024-031124
TCBLOD,NUS,02,S300924-061024
TCCOBE2,LAB,02,S071024-131024
TCCOBE2,LAB,02,S281024-031124
TCCOBE2,NUS,02,S071024-131024
TCCOBE2,NUS,02,S281024-031124
TCCOMMU2,LAB,02,S071024-131024
TCCOMMU2,LAB,02,S281024-031124
TCCOMMU2,LAB,02,S300924-061024
TCCOMMU2,NUS,02,S071024-131024
TCCOMMU2,NUS,02,S281024-031124
TCCOMMU2,NUS,02,S300924-061024
TCCOMP2,BAT,02,S071024-131024
TCCOMP2,BAT,02,S281024-031124
TCCOMP2,BAT,02,S300924-061024
TCCOMP2,GL,02,S071024-131024
TCCOMP2,GL,02,S281024-031124
TCCOMP2,GL,02,S300924-061024
TCCOMP2,IWD,02,S071024-131024
TCCOMP2,IWD,02,S281024-031124
TCCOMP2,IWD,02,S300924-061024
TCCOMP2,MKA,02,S071024-131024
TCCOMP2,MKA,02,S281024-031124
TCCOMP2,MKA,02,S300924-061024
TCCOMP2,RS,02,S071024-131024
TCCOMP2,RS,02,S281024-031124
TCCOMP2,RS,02,S300924-061024
TCCOMP2,TOPO,02,S071024-131024
TCCOMP2,TOPO,02,S281024-031124
TCCOMP2,TOPO,02,S300924-061024
TCCOMP3,ELN,02,S071024-131024
TCCOMP3,ELN,02,S281024-031124
TCCOMP3,ELN,02,S300924-061024
TCCOMP3,MEC,02,S071024-131024
TCCOMP3,MEC,02,S281024-031124
TCCOMP3,MEC,02,S300924-061024
TCCOMP3,NUS,03,S071024-131024
TCCOMP3,NUS,03,S281024-031124
TCCOMP3,NUS,03,S300924-061024
TCCOMY2,LAB,02,S071024-131024
TCCOMY2,LAB,02,S281024-031124
TCCOMY2,LAB,02,S300924-061024
TCCOMY2,NUS,02,S071024-131024
TCCOMY2,NUS,02,S281024-031124
TCCOMY2,NUS,02,S300924-061024
TCCOSC2,BTSET,02,S071024-131024
TCCOSC2,BTSET,02,S281024-031124
TCCOSC2,ELN,02,S071024-131024
TCCOSC2,ELN,02,S281024-031124
TCCOSC2,MEC,02,S071024-131024
TCCOSC2,MEC,02,S281024-031124
TCDACO2,BTSET,02,S071024-131024
TCDACO2,BTSET,02,S281024-031124
TCDACO2,ELN,02,S071024-131024
TCDACO2,ELN,02,S281024-031124
TCDROI2,BAT,02,S071024-131024
TCDROI2,BAT,02,S281024-031124
TCDROI2,BAT,02,S300924-061024
TCDROI2,GL,02,S071024-131024
TCDROI2,GL,02,S281024-031124
TCDROI2,GL,02,S300924-061024
TCDROI2,IWD,02,S071024-131024
TCDROI2,IWD,02,S281024-031124
TCDROI2,IWD,02,S300924-061024
TCDROI2,MKA,02,S071024-131024
TCDROI2,MKA,02,S281024-031124
TCDROI2,MKA,02,S300924-061024
TCDROI2,RS,02,S071024-131024
TCDROI2,RS,02,S281024-031124
TCDROI2,RS,02,S300924-061024
TCDROI2,SF,03,S071024-131024
TCDROI2,SF,03,S281024-031124
TCDROI2,SF,03,S300924-061024
TCDROI2,SI,02,S071024-131024
TCDROI2,SI,02,S281024-031124
TCDROI2,SI,02,S300924-061024
TCDROI2,SI,03,S071024-131024
TCDROI2,SI,03,S281024-031124
TCDROI2,SI,03,S300924-061024
TCDROI2,TL,02,S071024-131024
TCDROI2,TL,02,S281024-031124
TCDROI2,TL,02,S300924-061024
TCDROI2,TOPO,02,S071024-131024
TCDROI2,TOPO,02,S281024-031124
TCDROI2,TOPO,02,S300924-061024
TCECON2,BAT,02,S071024-131024
TCECON2,BAT,02,S281024-031124
TCECON2,BAT,02,S300924-061024
TCECON2,GL,02,S071024-131024
TCECON2,GL,02,S281024-031124
TCECON2,GL,02,S300924-061024
TCECON2,IWD,02,S071024-131024
TCECON2,IWD,02,S281024-031124
TCECON2,IWD,02,S300924-061024
TCECON2,MKA,02,S071024-131024
TCECON2,MKA,02,S281024-031124
TCECON2,MKA,02,S300924-061024
TCECON2,RS,02,S071024-131024
TCECON2,RS,02,S281024-031124
TCECON2,RS,02,S300924-061024
TCECON2,SF,03,S071024-131024
TCECON2,SF,03,S281024-031124
TCECON2,SF,03,S300924-061024
TCECON2,SI,02,S071024-131024
TCECON2,SI,02,S281024-031124
TCECON2,SI,02,S300924-061024
TCECON2,SI,03,S071024-131024
TCECON2,SI,03,S281024-031124
TCECON2,SI,03,S300924-061024
TCECON2,TL,02,S071024-131024
TCECON2,TL,02,S281024-031124
TCECON2,TL,02,S300924-061024
TCECON2,TOPO,02,S071024-131024
TCECON2,TOPO,02,S281024-031124
TCECON2,TOPO,02,S300924-061024
TCECOS3,SI,03,S071024-131024
TCECOS3,SI,03,S281024-031124
TCECOS3,SI,03,S300924-061024
TCECOS3,TL,02,S071024-131024
TCECOS3,TL,02,S281024-031124
TCECOS3,TL,02,S300924-061024
TCELSC2,BTSET,02,S071024-131024
TCELSC2,BTSET,02,S281024-031124
TCELSC2,ELN,02,S071024-131024
TCELSC2,ELN,02,S281024-031124
TCETHI3,SF,03,S071024-131024
TCETHI3,SF,03,S281024-031124
TCETHI3,SF,03,S300924-061024
TCETHI3,SI,03,S071024-131024
TCETHI3,SI,03,S281024-031124
TCETHI3,SI,03,S300924-061024
TCFRAN2,BAT,02,S071024-131024
TCFRAN2,BAT,02,S281024-031124
TCFRAN2,BAT,02,S300924-061024
TCFRAN2,GL,02,S071024-131024
TCFRAN2,GL,02,S281024-031124
TCFRAN2,GL,02,S300924-061024
TCFRAN2,IWD,02,S071024-131024
TCFRAN2,IWD,02,S281024-031124
