annee,code,libelle,codfil,codniv,codmes,credit,budmin,budisu,codpro1,codpro2,codpro3,codisu,releve,F15
2024/2025,BAT1111,Mathématiques I ,BAT,01,semestre1,4.0,60.0,40.0,,,,,oui,False
2024/2025,BAT1121,Physiques I ,BAT,01,semestre1,5.0,75.0,50.0,,,,PHYSIQUE1,oui,False
2024/2025,BAT1122,Chimie ,BAT,01,semestre1,3.0,45.0,0.0,THNGAKO,,,CHIMIE,oui,False
2024/2025,BAT1131,Procédés généraux de construction I ,BAT,01,semestre1,3.0,45.0,30.0,,,,PROGENCO1,oui,False
2024/2025,BAT1141,Dessin et technologie de bâtiment ,BAT,01,semestre1,4.0,60.0,40.0,,,,DESSINTE1,oui,False
2024/2025,BAT1142,PHYSIQUE APPLIQUE  AU GENIE CIVIL ,BAT,01,semestre1,3.0,45.0,0.0,,,,,oui,False
2024/2025,BAT1151,Organisation des chantiers ,BAT,01,semestre1,1.0,15.0,10.0,,,,ORGCHANTI,oui,False
2024/2025,BAT1161,Architecture ,BAT,01,semestre1,4.0,60.0,40.0,,,,ARCHITECT,oui,False
2024/2025,BAT1162,Résistance des matériaux I ,BAT,01,semestre1,4.0,60.0,0.0,,,,RESISMAT2,oui,False
2024/2025,BAT1171,Formation bilingue ,BAT,01,semestre1,4.0,60.0,40.0,LEATANGANA,,,,oui,False
2024/2025,BAT1172,Expression francaise,BAT,01,semestre1,3.0,45.0,0.0,,,,FRANCAIS2,oui,False
2024/2025,BAT1211,Mathématiques II ,BAT,01,semestre2,4.0,60.0,40.0,,,,APPLMATHS,oui,False
2024/2025,BAT1221,Physiques II ,BAT,01,semestre2,3.0,45.0,30.0,,,,PHYSIQUE2,oui,False
2024/2025,BAT1222,Informatique I ,BAT,01,semestre2,3.0,45.0,30.0,HSBIBOUM,CHBRUKO,,INFORGEN1,oui,False
2024/2025,BAT1231,Projets béton armé ,BAT,01,semestre2,2.0,30.0,20.0,,,,PROJACADE,oui,False
2024/2025,BAT1232,Procédés généraux de construction II ,BAT,01,semestre2,3.0,45.0,0.0,,,,PROGENCO2,oui,False
2024/2025,BAT1241,Topographie I ,BAT,01,semestre2,2.0,30.0,20.0,CLTIMENE,,,TOPOGRAP1,oui,False
2024/2025,BAT1251,Béton armé I ,BAT,01,semestre2,4.0,60.0,40.0,,,,BETOARME1,oui,False
2024/2025,BAT1261,Géotechnique ,BAT,01,semestre2,1.0,15.0,4.0,KUFOTSO,,,,oui,False
2024/2025,BAT1262,Résistance des matériaux II ,BAT,01,semestre2,3.0,45.0,30.0,KUFOTSO,,,RESISMAT2,oui,False
2024/2025,BAT1271,Entreprenariat ,BAT,01,semestre2,4.0,60.0,30.0,,,,ENTREPREN,oui,False
2024/2025,BAT1272,Education civique et éthique ,BAT,01,semestre2,2.0,30.0,0.0,ISMBEMIN,,,DROITCIVI,oui,False
2024/2025,BAT1281,ECONOMIE GENERALE,BAT,01,semestre2,2.0,30.0,20.0,HUDJOMO,,,ECONOGENE,oui,False
2024/2025,BAT1371,Comptabilité Générale ,BAT,01,semestre1,2.0,30.0,20.0,,,,COMPTAGE1,oui,False
2024/2025,BAT1373,Education civique et éthique ,BAT,01,semestre1,1.0,15.0,10.0,ISMBEMIN,,,DROITCIVI,oui,False
2024/2025,BAT2172,Expression francaise,BAT,02,semestre1,3.0,45.0,0.0,LEATANGANA,,,FRANCAIS2,oui,False
2024/2025,BAT2311,Mathématiques III,BAT,02,semestre1,4.0,60.0,40.0,MOYEMELE,,,MATMATIQ3,oui,False
