annee,code,libelle,codspe,codniv,codec,cm,td,tp,tpe,cr
2024/2025,BAT111,Mathématiques I,BAT,01,FOND,30.0,25.0,0.0,5.0,4.0
2024/2025,BAT112,Physique et Chimie,BAT,01,FOND,35.0,23.0,12.0,5.0,5.0
2024/2025,BAT113,Procédés généraux de construction,BAT,01,PROF,25.0,15.0,0.0,5.0,3.0
2024/2025,BAT114,Dessin et technologie de bâtiment,BAT,01,PROF,35.0,10.0,0.0,0.0,3.0
2024/2025,BAT115,Organisation des chantiers,BAT,01,PROF,35.0,20.0,0.0,5.0,4.0
2024/2025,BAT116,Architecture et Résistance des matériaux,BAT,01,PROF,45.0,55.0,15.0,5.0,8.0
2024/2025,BAT117,Formation bilingue,BAT,01,TRANS,25.0,15.0,0.0,5.0,3.0
2024/2025,BAT121,Mathématiques II,BAT,01,FOND,30.0,25.0,0.0,5.0,4.0
2024/2025,BAT122,Physique et Informatique,BAT,01,FOND,35.0,20.0,15.0,5.0,5.0
2024/2025,BAT123,Bureau d’étude et projets,BAT,01,PROF,40.0,20.0,10.0,5.0,5.0
2024/2025,BAT124,Topographie I,BAT,01,PROF,20.0,10.0,10.0,5.0,3.0
2024/2025,BAT125,Béton armé I,BAT,01,PROF,30.0,25.0,0.0,5.0,4.0
2024/2025,BAT126,Géotechnique et Résistances des matériaux II,BAT,01,PROF,55.0,20.0,10.0,5.0,6.0
2024/2025,BAT127,"Création d’entreprise et Education civique et
éthique",BAT,01,TRANS,30.0,10.0,0.0,5.0,3.0
2024/2025,BAT231,Mathématiques III,BAT,02,FOND,30.0,30.0,0.0,0.0,4.0
2024/2025,BAT232,Physique et Chimie,BAT,02,FOND,35.0,20.0,15.0,5.0,5.0
2024/2025,BAT233,Equipements et Matériaux,BAT,02,PROF,55.0,20.0,0.0,0.0,5.0
2024/2025,BAT234,Résistance III,BAT,02,PROF,20.0,10.0,10.0,5.0,3.0
2024/2025,BAT235,Béton Armé II et Dessin assisté par ordinateur,BAT,02,PROF,40.0,15.0,45.0,5.0,7.0
2024/2025,BAT236,Procédés et techniques de réalisation,BAT,02,PROF,30.0,15.0,0.0,0.0,3.0
2024/2025,BAT237,Comptabilité et Droit du travail,BAT,02,TRANS,30.0,10.0,0.0,5.0,3.0
2024/2025,BAT241,Mathématiques IV,BAT,02,FOND,30.0,30.0,0.0,0.0,4.0
2024/2025,BAT242,Informatique II,BAT,02,FOND,20.0,10.0,40.0,5.0,5.0
2024/2025,BAT243,Bureau d’etude II et Dessin assisté par ordinateur,BAT,02,PROF,30.0,10.0,30.0,5.0,5.0
