annee,codmes,codfil,codniv,codmat,codetu,cc,sn,ra
2024/2025,semestre1,BAT,02,BASHYGSEC,ISU00002,12.0,11.0,
2024/2025,semestre1,BAT,02,BASHYGSEC,ISU00018,14.0,16.0,
2024/2025,semestre1,BAT,02,BETOARME2,ISU00002,13.0,12.0,
2024/2025,semestre1,BAT,02,BETOARME2,ISU00018,16.0,16.0,
2024/2025,semestre1,BAT,02,BUREAETUD,ISU00002,16.0,6.0,
2024/2025,semestre1,BAT,02,BUREAETUD,ISU00018,14.0,15.0,
2024/2025,semestre1,BAT,02,COMPTAANA,ISU00002,14.0,15.0,
2024/2025,semestre1,BAT,02,COMPTAANA,ISU00018,13.0,15.0,
2024/2025,semestre1,BAT,02,DESASSOR1,ISU00002,12.0,13.5,
2024/2025,semestre1,BAT,02,DESASSOR1,ISU00018,15.0,16.0,
2024/2025,semestre1,BAT,02,DESASSOR2,ISU00002,17.0,16.0,
2024/2025,semestre1,BAT,02,DESASSOR2,ISU00018,15.5,17.0,
2024/2025,semestre1,BAT,02,DROITCIVI,ISU00002,13.5,13.5,
2024/2025,semestre1,BAT,02,DROITCIVI,ISU00018,10.5,10.5,
2024/2025,semestre1,BAT,02,ECONOGENE,ISU00002,10.0,10.0,
2024/2025,semestre1,BAT,02,ECONOGENE,ISU00018,10.0,10.0,
2024/2025,semestre1,BAT,02,ENTREPREN,ISU00002,12.5,13.0,
2024/2025,semestre1,BAT,02,ENTREPREN,ISU00018,12.0,12.0,
2024/2025,semestre1,BAT,02,EQUIBATIM,ISU00002,10.0,13.0,
2024/2025,semestre1,BAT,02,EQUIBATIM,ISU00018,13.0,15.0,
2024/2025,semestre1,BAT,02,ETUDEPRIX,ISU00002,15.0,12.0,
2024/2025,semestre1,BAT,02,ETUDEPRIX,ISU00018,12.0,14.0,
2024/2025,semestre1,BAT,02,FRANCAIS2,ISU00002,10.5,11.0,
2024/2025,semestre1,BAT,02,FRANCAIS2,ISU00018,13.5,14.0,
2024/2025,semestre1,BAT,02,MATECONST,ISU00002,14.0,14.0,
2024/2025,semestre1,BAT,02,MATECONST,ISU00018,16.0,15.25,
2024/2025,semestre1,BAT,02,MATMATIQ3,ISU00002,18.0,14.0,
2024/2025,semestre1,BAT,02,MATMATIQ3,ISU00018,13.0,12.0,
2024/2025,semestre1,BAT,02,PHYSIQUE3,ISU00002,13.0,16.0,
2024/2025,semestre1,BAT,02,PHYSIQUE3,ISU00018,13.0,12.0,
2024/2025,semestre1,BAT,02,PROTECREA,ISU00002,13.0,14.5,
2024/2025,semestre1,BAT,02,PROTECREA,ISU00018,15.0,16.0,
2024/2025,semestre1,BAT,02,RESISMAT3,ISU00002,12.0,15.0,
2024/2025,semestre1,BAT,02,RESISMAT3,ISU00018,16.0,13.0,
2024/2025,semestre1,BST,01,ARCHITECT,ISU00067,15.7,10.0,
2024/2025,semestre1,BST,01,ARCHITECT,ISU00068,15.8,10.5,
2024/2025,semestre1,BST,01,CHEMISTRY,ISU00067,16.0,10.75,
2024/2025,semestre1,BST,01,CHEMISTRY,ISU00068,14.0,10.375,
2024/2025,semestre1,BST,01,COMPSCIEN,ISU00067,16.0,8.5,
2024/2025,semestre1,BST,01,COMPSCIEN,ISU00068,16.0,6.0,14.0
2024/2025,semestre1,BST,01,DESIGNTEC,ISU00067,14.0,13.5,
2024/2025,semestre1,BST,01,DESIGNTEC,ISU00068,13.0,9.5,
2024/2025,semestre1,BST,01,FRENCH,ISU00067,7.5,7.5,18.0
2024/2025,semestre1,BST,01,FRENCH,ISU00068,7.0,7.0,17.0
2024/2025,semestre1,BST,01,GENERCONS,ISU00067,14.0,8.0,
2024/2025,semestre1,BST,01,GENERCONS,ISU00068,14.5,8.25,
2024/2025,semestre1,BST,01,LABOURLAW,ISU00067,13.5,7.0,10.0
2024/2025,semestre1,BST,01,LABOURLAW,ISU00068,9.5,7.0,6.0
2024/2025,semestre1,BST,01,MATMATIC1,ISU00067,13.0,12.0,
2024/2025,semestre1,BST,01,MATMATIC1,ISU00068,14.5,13.0,
2024/2025,semestre1,BST,01,ORGOFWORK,ISU00067,13.5,12.0,
2024/2025,semestre1,BST,01,ORGOFWORK,ISU00068,13.0,12.5,
2024/2025,semestre1,BST,01,PHYSICS1,ISU00067,16.0,7.125,8.28
2024/2025,semestre1,BST,01,PHYSICS1,ISU00068,15.0,5.125,7.42
