annee,codsem,codfil,codniv,typjour,heure,codpro,codmat
2025/2026,S011225-071225,ACC,01,Jeudi,13,NCMICHAEL,ENGLISH
2025/2026,S011225-071225,ACC,01,Jeudi,14,NCMICHAEL,ENGLISH
2025/2026,S011225-071225,ACC,01,Jeudi,15,NCMICHAEL,ENGLISH
2025/2026,S011225-071225,ACC,01,Jeudi,16,NCMICHAEL,ENGLISH
2025/2026,S011225-071225,ACC,01,Lundi,08,RONGAHA,STATSTIC2
2025/2026,S011225-071225,ACC,01,Lundi,09,RONGAHA,STATSTIC2
2025/2026,S011225-071225,ACC,01,Lundi,10,RONGAHA,STATSTIC2
2025/2026,S011225-071225,ACC,01,Lundi,11,RONGAHA,STATSTIC2
2025/2026,S011225-071225,ACC,01,Mercredi,08,RONGAHA,STATSTIC2
2025/2026,S011225-071225,ACC,01,Mercredi,09,RONGAHA,STATSTIC2
2025/2026,S011225-071225,ACC,01,Mercredi,10,RONGAHA,STATSTIC2
2025/2026,S011225-071225,ACC,01,Mercredi,11,RONGAHA,STATSTIC2
2025/2026,S011225-071225,ACC,01,Mercredi,13,AUTCHENTE,INTROTAXA
2025/2026,S011225-071225,ACC,01,Mercredi,14,AUTCHENTE,INTROTAXA
2025/2026,S011225-071225,ACC,01,Mercredi,15,AUTCHENTE,INTROTAXA
2025/2026,S011225-071225,ACC,01,Mercredi,16,AUTCHENTE,INTROTAXA
2025/2026,S011225-071225,ACC,01,Samedi,08,NCMICHAEL,ENGLISH
2025/2026,S011225-071225,ACC,01,Samedi,09,NCMICHAEL,ENGLISH
2025/2026,S011225-071225,ACC,01,Samedi,10,NCMICHAEL,ENGLISH
2025/2026,S011225-071225,ACC,01,Samedi,11,NCMICHAEL,ENGLISH
2025/2026,S011225-071225,BAT,01,Jeudi,13,CHBRUKO,TECINFCOM
2025/2026,S011225-071225,BAT,01,Jeudi,14,CHBRUKO,TECINFCOM
2025/2026,S011225-071225,BAT,01,Jeudi,15,CHBRUKO,TECINFCOM
2025/2026,S011225-071225,BAT,01,Jeudi,16,CHBRUKO,TECINFCOM
2025/2026,S011225-071225,BAT,01,Lundi,08,CHBRUKO,TECINFCOM
2025/2026,S011225-071225,BAT,01,Lundi,09,CHBRUKO,TECINFCOM
2025/2026,S011225-071225,BAT,01,Lundi,10,CHBRUKO,TECINFCOM
2025/2026,S011225-071225,BAT,01,Lundi,11,CHBRUKO,TECINFCOM
2025/2026,S011225-071225,BAT,01,Lundi,13,KUFOTSO,ORGCHANTI
2025/2026,S011225-071225,BAT,01,Lundi,14,KUFOTSO,ORGCHANTI
2025/2026,S011225-071225,BAT,01,Lundi,15,KUFOTSO,ORGCHANTI
2025/2026,S011225-071225,BAT,01,Lundi,16,KUFOTSO,ORGCHANTI
2025/2026,S011225-071225,BAT,01,Mardi,08,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BAT,01,Mardi,09,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BAT,01,Mardi,10,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BAT,01,Mardi,11,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BAT,01,Mardi,13,KUFOTSO,ORGCHANTI
2025/2026,S011225-071225,BAT,01,Mardi,14,KUFOTSO,ORGCHANTI
2025/2026,S011225-071225,BAT,01,Mardi,15,KUFOTSO,ORGCHANTI
2025/2026,S011225-071225,BAT,01,Mardi,16,KUFOTSO,ORGCHANTI
2025/2026,S011225-071225,BAT,01,Mercredi,13,KUFOTSO,RESISMAT1
2025/2026,S011225-071225,BAT,01,Mercredi,14,KUFOTSO,RESISMAT1
2025/2026,S011225-071225,BAT,01,Mercredi,15,KUFOTSO,RESISMAT1
2025/2026,S011225-071225,BAT,01,Mercredi,16,KUFOTSO,RESISMAT1
2025/2026,S011225-071225,BAT,01,Samedi,08,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BAT,01,Samedi,09,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BAT,01,Samedi,10,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BAT,01,Samedi,11,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BAT,01,Vendredi,08,KUFOTSO,ORGCHANTI
2025/2026,S011225-071225,BAT,01,Vendredi,09,KUFOTSO,ORGCHANTI
2025/2026,S011225-071225,BAT,01,Vendredi,10,KUFOTSO,ORGCHANTI
2025/2026,S011225-071225,BAT,01,Vendredi,11,KUFOTSO,ORGCHANTI
2025/2026,S011225-071225,BAT,01,Vendredi,13,KUFOTSO,RESISMAT1
2025/2026,S011225-071225,BAT,01,Vendredi,14,KUFOTSO,RESISMAT1
2025/2026,S011225-071225,BAT,01,Vendredi,15,KUFOTSO,RESISMAT1
2025/2026,S011225-071225,BAT,01,Vendredi,16,KUFOTSO,RESISMAT1
2025/2026,S011225-071225,BCI,03,Jeudi,08,JUMALAVAYE,EQUADIFFE
2025/2026,S011225-071225,BCI,03,Jeudi,09,JUMALAVAYE,EQUADIFFE
2025/2026,S011225-071225,BCI,03,Jeudi,10,JUMALAVAYE,EQUADIFFE
2025/2026,S011225-071225,BCI,03,Jeudi,11,JUMALAVAYE,EQUADIFFE
2025/2026,S011225-071225,BCI,03,Jeudi,13,ACLADJOU,MECMILCON
2025/2026,S011225-071225,BCI,03,Jeudi,14,ACLADJOU,MECMILCON
2025/2026,S011225-071225,BCI,03,Jeudi,15,ACLADJOU,MECMILCON
2025/2026,S011225-071225,BCI,03,Jeudi,16,ACLADJOU,MECMILCON
2025/2026,S011225-071225,BCI,03,Lundi,08,JUMALAVAYE,EQUADIFFE
2025/2026,S011225-071225,BCI,03,Lundi,09,JUMALAVAYE,EQUADIFFE
2025/2026,S011225-071225,BCI,03,Lundi,10,JUMALAVAYE,EQUADIFFE
2025/2026,S011225-071225,BCI,03,Lundi,11,JUMALAVAYE,EQUADIFFE
2025/2026,S011225-071225,BCI,03,Lundi,13,JUMALAVAYE,EQUADIFFE
2025/2026,S011225-071225,BCI,03,Lundi,14,JUMALAVAYE,EQUADIFFE
2025/2026,S011225-071225,BCI,03,Lundi,15,JUMALAVAYE,EQUADIFFE
2025/2026,S011225-071225,BCI,03,Lundi,16,JUMALAVAYE,EQUADIFFE
2025/2026,S011225-071225,BCI,03,Mercredi,08,KOWELVEDE,TECHNICOM
2025/2026,S011225-071225,BCI,03,Mercredi,09,KOWELVEDE,TECHNICOM
2025/2026,S011225-071225,BCI,03,Mercredi,10,KOWELVEDE,TECHNICOM
2025/2026,S011225-071225,BCI,03,Mercredi,11,KOWELVEDE,TECHNICOM
2025/2026,S011225-071225,BST,01,Jeudi,08,YVFOTSO,CHEMISTRY
2025/2026,S011225-071225,BST,01,Jeudi,09,YVFOTSO,CHEMISTRY
2025/2026,S011225-071225,BST,01,Jeudi,10,YVFOTSO,CHEMISTRY
2025/2026,S011225-071225,BST,01,Jeudi,11,YVFOTSO,CHEMISTRY
2025/2026,S011225-071225,BST,01,Jeudi,13,NCMICHAEL,ENGLISH
2025/2026,S011225-071225,BST,01,Jeudi,14,NCMICHAEL,ENGLISH
2025/2026,S011225-071225,BST,01,Jeudi,15,NCMICHAEL,ENGLISH
2025/2026,S011225-071225,BST,01,Jeudi,16,NCMICHAEL,ENGLISH
2025/2026,S011225-071225,BST,01,Mardi,08,DENDIFON,GENERCONS
2025/2026,S011225-071225,BST,01,Mardi,09,DENDIFON,GENERCONS
2025/2026,S011225-071225,BST,01,Mardi,10,DENDIFON,GENERCONS
2025/2026,S011225-071225,BST,01,Mardi,11,DENDIFON,GENERCONS
2025/2026,S011225-071225,BST,01,Mardi,13,DENDIFON,GENERCONS
2025/2026,S011225-071225,BST,01,Mardi,14,DENDIFON,GENERCONS
2025/2026,S011225-071225,BST,01,Mardi,15,DENDIFON,GENERCONS
2025/2026,S011225-071225,BST,01,Mardi,16,DENDIFON,GENERCONS
2025/2026,S011225-071225,BST,01,Mercredi,08,DENDIFON,GENERCONS
2025/2026,S011225-071225,BST,01,Mercredi,09,DENDIFON,GENERCONS
2025/2026,S011225-071225,BST,01,Mercredi,10,DENDIFON,GENERCONS
2025/2026,S011225-071225,BST,01,Mercredi,11,DENDIFON,GENERCONS
2025/2026,S011225-071225,BST,01,Mercredi,13,DENDIFON,ORGOFWORK
2025/2026,S011225-071225,BST,01,Mercredi,14,DENDIFON,ORGOFWORK
2025/2026,S011225-071225,BST,01,Mercredi,15,DENDIFON,ORGOFWORK
2025/2026,S011225-071225,BST,01,Mercredi,16,DENDIFON,ORGOFWORK
2025/2026,S011225-071225,BST,01,Samedi,08,NCMICHAEL,ENGLISH
2025/2026,S011225-071225,BST,01,Samedi,09,NCMICHAEL,ENGLISH
2025/2026,S011225-071225,BST,01,Samedi,10,NCMICHAEL,ENGLISH
2025/2026,S011225-071225,BST,01,Samedi,11,NCMICHAEL,ENGLISH
2025/2026,S011225-071225,BST,01,Vendredi,08,DENDIFON,RESISMTER
2025/2026,S011225-071225,BST,01,Vendredi,09,DENDIFON,RESISMTER
2025/2026,S011225-071225,BST,01,Vendredi,10,DENDIFON,RESISMTER
2025/2026,S011225-071225,BST,01,Vendredi,11,DENDIFON,RESISMTER
2025/2026,S011225-071225,BST,01,Vendredi,13,YVFOTSO,CHEMISTRY
2025/2026,S011225-071225,BST,01,Vendredi,14,YVFOTSO,CHEMISTRY
2025/2026,S011225-071225,BST,01,Vendredi,15,YVFOTSO,CHEMISTRY
2025/2026,S011225-071225,BST,01,Vendredi,16,YVFOTSO,CHEMISTRY
2025/2026,S011225-071225,BTSET,01,Jeudi,13,CHBRUKO,INFORGEN1
2025/2026,S011225-071225,BTSET,01,Jeudi,14,CHBRUKO,INFORGEN1
2025/2026,S011225-071225,BTSET,01,Jeudi,15,CHBRUKO,INFORGEN1
2025/2026,S011225-071225,BTSET,01,Jeudi,16,CHBRUKO,INFORGEN1
2025/2026,S011225-071225,BTSET,01,Lundi,08,CHBRUKO,INFORGEN1
2025/2026,S011225-071225,BTSET,01,Lundi,09,CHBRUKO,INFORGEN1
2025/2026,S011225-071225,BTSET,01,Lundi,10,CHBRUKO,INFORGEN1
2025/2026,S011225-071225,BTSET,01,Lundi,11,CHBRUKO,INFORGEN1
2025/2026,S011225-071225,BTSET,01,Lundi,13,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Lundi,14,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Lundi,15,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Lundi,16,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,01,Mardi,08,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BTSET,01,Mardi,09,JOKAMGA,MATMATIQ1
2025/2026,S011225-071225,BTSET,01,Mardi,10,JOKAMGA,MATMATIQ1
