annee,codsem,codfil,codniv,typjour,fourche,heure,codpro,codmat,jour,codsal
2025/2026,S011225-071225,ACC,01,Jeudi,13H-17H,4,NCMICHAEL,ENGLISH,04,A42
2025/2026,S011225-071225,ACC,01,Lundi,08H-12H,4,RONGAHA,STATSTIC2,01,B10
2025/2026,S011225-071225,ACC,01,Mercredi,08H-12H,4,RONGAHA,STATSTIC2,03,B10
2025/2026,S011225-071225,ACC,01,Mercredi,13H-17H,4,AUTCHENTE,INTROTAXA,03,A41
2025/2026,S011225-071225,ACC,01,Samedi,08H-12H,4,NCMICHAEL,ENGLISH,06,A42
2025/2026,S011225-071225,BAT,01,Jeudi,13H-17H,4,CHBRUKO,TECINFCOM,04,A23
2025/2026,S011225-071225,BAT,01,Lundi,08H-12H,4,CHBRUKO,TECINFCOM,01,A23
2025/2026,S011225-071225,BAT,01,Lundi,13H-17H,4,KUFOTSO,ORGCHANTI,01,A23
2025/2026,S011225-071225,BAT,01,Mardi,08H-12H,4,JOKAMGA,MATMATIQ1,02,A11
2025/2026,S011225-071225,BAT,01,Mardi,13H-17H,4,KUFOTSO,ORGCHANTI,02,A23
2025/2026,S011225-071225,BAT,01,Mercredi,13H-17H,4,KUFOTSO,RESISMAT1,03,A23
2025/2026,S011225-071225,BAT,01,Samedi,08H-12H,4,JOKAMGA,MATMATIQ1,06,A11
2025/2026,S011225-071225,BAT,01,Vendredi,08H-12H,4,KUFOTSO,ORGCHANTI,05,A23
2025/2026,S011225-071225,BAT,01,Vendredi,13H-17H,4,KUFOTSO,RESISMAT1,05,A23
2025/2026,S011225-071225,BCI,03,Jeudi,08H-12H,4,JUMALAVAYE,EQUADIFFE,04,B11
2025/2026,S011225-071225,BCI,03,Jeudi,13H-17H,4,ACLADJOU,MECMILCON,04,A22
2025/2026,S011225-071225,BCI,03,Lundi,08H-12H,4,JUMALAVAYE,EQUADIFFE,01,B11
2025/2026,S011225-071225,BCI,03,Lundi,13H-17H,4,JUMALAVAYE,EQUADIFFE,01,B11
2025/2026,S011225-071225,BCI,03,Mercredi,08H-12H,4,KOWELVEDE,TECHNICOM,03,A33
2025/2026,S011225-071225,BST,01,Jeudi,08H-12H,4,YVFOTSO,CHEMISTRY,04,A31
2025/2026,S011225-071225,BST,01,Jeudi,13H-17H,4,NCMICHAEL,ENGLISH,04,A42
2025/2026,S011225-071225,BST,01,Mardi,08H-12H,4,DENDIFON,GENERCONS,02,B01
2025/2026,S011225-071225,BST,01,Mardi,13H-17H,4,DENDIFON,GENERCONS,02,B01
2025/2026,S011225-071225,BST,01,Mercredi,08H-12H,4,DENDIFON,GENERCONS,03,B01
2025/2026,S011225-071225,BST,01,Mercredi,13H-17H,4,DENDIFON,ORGOFWORK,03,A33
2025/2026,S011225-071225,BST,01,Samedi,08H-12H,4,NCMICHAEL,ENGLISH,06,A42
2025/2026,S011225-071225,BST,01,Vendredi,08H-12H,4,DENDIFON,RESISMTER,05,A41
2025/2026,S011225-071225,BST,01,Vendredi,13H-17H,4,YVFOTSO,CHEMISTRY,05,A31
2025/2026,S011225-071225,BTSET,01,Jeudi,13H-17H,4,CHBRUKO,INFORGEN1,04,A13
2025/2026,S011225-071225,BTSET,01,Lundi,08H-12H,4,CHBRUKO,INFORGEN1,01,A13
2025/2026,S011225-071225,BTSET,01,Lundi,13H-17H,4,CHGOMA,TECHMESUR,01,A41
