codmes,codfil,libfil,codniv,codmin,libmin,codisu,libisu,budmin,budisu,budget,realise,ecart
semestre1,ACC,Business And Finance,01,ACC1111,General Mathematics I,GENEMATH1,General Mathematics 1,45,30,40,24,6.0
semestre1,ACC,Business And Finance,01,ACC1112,General Computing I,GENECOMP1,General Computing 1,30,20,0,0,20.0
semestre1,ACC,Business And Finance,01,ACC1131,Daily Operations I,DAILYOPE1,Daily Operations I,75,50,0,0,50.0
semestre1,ACC,Business And Finance,01,ACC1132,Specific Operations And End Of Year Adjustments,SPEOPEEN1,Specific Operations And End Of Year Adjustments,30,20,0,0,20.0
semestre1,ACC,Business And Finance,01,ACC1141,Full Costing I,FULLCOST1,Full Costing I,30,20,0,0,20.0
semestre1,ACC,Business And Finance,01,ACC1142,Marginal Costing And The Break-Even Analysis I,MARCOSBR1,Marginal Costing And The Break-Even Analysis I,45,30,0,0,30.0
semestre1,ACC,Business And Finance,01,ACC1151,Introduction To Taxation,INTROTAXA,Introduction To Taxation,45,30,12,8,22.0
semestre1,ACC,Business And Finance,01,ACC1161,Introduction To Financial Analysis I,PROFINAN1,Introduction To Financial Analysis I,30,20,0,0,20.0
semestre1,ACC,Business And Finance,01,ACC1162,Computer Assisted Accounting I,COMASSAC1,Computer Assisted Accounting I,30,20,0,0,20.0
semestre1,ACC,Business And Finance,01,ACC1171,French Expression,FRENCH,French,15,12,0,0,12.0
semestre1,ACC,Business And Finance,01,ACC1172,General Economics,GENECONOM,General Economy,30,20,16,11,9.0
semestre2,ACC,Business And Finance,01,ACC1211,General Mathematics II,GENEMATH2,General Mathematics II,45,30,0,0,30.0
semestre2,ACC,Business And Finance,01,ACC1221,Financial Mathematics II,FINAMATH2,Financial Mathematics II,30,20,0,0,20.0
semestre2,ACC,Business And Finance,01,ACC1222,Statistics II,STATSTIC2,Statistics II,30,20,8,0,20.0
semestre2,ACC,Business And Finance,01,ACC1231,Daily Operations II,DAILYOPE2,Daily Operations II,60,40,0,0,40.0
semestre2,ACC,Business And Finance,01,ACC1232,Specific Operations And End Of Year Adjustments II,SPEOPEEN2,Specific Operations And End Of Year Adjustments II,45,30,0,0,30.0
semestre2,ACC,Business And Finance,01,ACC1241,Full Costing II,FULLCOST2,Full Costing II,30,20,0,0,20.0
semestre2,ACC,Business And Finance,01,ACC1242,Marginal Costing And The Break-Even Analysis II,MARCOSBR2,Marginal Costing And The Break-Even Analysis II,30,20,0,0,20.0
semestre2,ACC,Business And Finance,01,ACC1252,Methodology For The Presentation Of End Of Internshit Report,METDRAINT,Methodology of drafting the internship report,15,12,0,0,12.0
semestre2,ACC,Business And Finance,01,ACC1253,Vat And Tit,VATANDTIT,Vat And Tit,45,30,0,0,30.0
semestre2,ACC,Business And Finance,01,ACC1261,Introduction To Financial Analysis II,PROFINAN2,Introduction To Financial Analysis II,30,20,0,0,20.0
semestre2,ACC,Business And Finance,01,ACC1262,Computer Assisted Accounting II,COMASSAC2,Computer Assisted Accounting II,30,20,0,0,20.0
semestre2,ACC,Business And Finance,01,ACC1271,English Expression,ENGLISH,English,15,12,24,16,-4.0
semestre2,ACC,Business And Finance,01,ACC1272,Economy And Organization Of Enterprises,ECOBUSORG,Economy and business organization,30,20,0,0,20.0
semestre2,ACC,Business And Finance,01,XXX0157,Statistics II,STATSTIC1,Statistics I,30,20,32,24,-4.0
semestre1,ACC,Business And Finance,01,XXX0159,ICT for logistics,ICT,ICT,15,12,32,16,-4.0
semestre1,AFI,Accounting And Finance,01,AFI1112,General Computing I,GENECOMP1,General Computing 1,15,12,20,20,-8.0
semestre1,AFI,Accounting And Finance,01,AFI1114,General Mathematics I,GENEMATH1,General Mathematics 1,15,12,24,20,-8.0
semestre1,AFI,Accounting And Finance,01,AFI1171,French,FRENCH,French,15,12,20,12,0.0
semestre1,AFI,Accounting And Finance,01,AFI1172,General Economics,GENECONOM,General Economy,30,20,4,4,16.0
semestre2,AFI,Accounting And Finance,01,AFI1271,English ,ENGLISH,English,15,12,0,0,12.0
semestre1,AFI,Accounting And Finance,01,AFI2222,Practical work ICT,PRAWORICT,Practical Work ICT,100,100,4,0,100.0
semestre2,AFI,Accounting And Finance,02,AFI2472,Labor law,LABORLAW,Labour Law,15,12,0,0,12.0
semestre1,AFI,Accounting And Finance,01,XXX0158,Practical work ICT,PRAWORICT,Practical Work ICT,100,100,4,0,100.0
semestre1,AMA,Assistant Manager,01,AMA1112,General computing I,GENECOMP1,General Computing 1,30,20,0,0,20.0
semestre1,AMA,Assistant Manager,01,AMA1172,General economics,GENECONOM,General Economy,30,20,0,0,20.0
semestre2,AMA,Assistant Manager,02,AMA2472,Labor law,LABORLAW,Labour Law,15,12,0,0,12.0
semestre1,BAT,Bâtiment,01,BAT1111,Mathématiques I,MATMATIQ1,Mathématiques I,60,40,72,0,40.0
semestre1,BAT,Bâtiment,01,BAT1121,TIC I ,TECINFCOM,TIC,75,50,28,0,50.0
semestre1,BAT,Bâtiment,01,BAT1131,Procédés généraux de construction ,PROGENCO1,Procédés généraux de construction I,45,30,40,23,7.0
semestre1,BAT,Bâtiment,01,BAT1141,Physique appliquée au Génie Civil,PHYAPPGEN,Physique appliquée au Génie Civil,45,30,0,0,30.0
semestre1,BAT,Bâtiment,01,BAT1151,Organisation des chantiers ,ORGCHANTI,Organisation des chantiers,45,30,40,32,-2.0
semestre1,BAT,Bâtiment,01,BAT1161,Architecture ,ARCHITECT,Architecture,60,40,0,0,40.0
semestre2,BAT,Bâtiment,01,BAT1171,Techniques d’expression française ,FRANCAIS2,Francais,15,12,0,0,12.0
semestre2,BAT,Bâtiment,01,BAT1172,Techniques d’expression anglaise ,ANGLAIS,Anglais,30,20,16,8,12.0
semestre2,BAT,Bâtiment,01,BAT1211,Mathématiques II ,MATMATIQ2,Mathématique II,60,40,0,0,40.0
semestre2,BAT,Bâtiment,01,BAT1221,Physiques I ,PHYSIQUE1,Physiques 1,45,30,44,21,9.0
semestre2,BAT,Bâtiment,01,BAT1222,Chimie ,CHIMIE,Chimie,30,20,0,0,20.0
semestre2,BAT,Bâtiment,01,BAT1231,Bureau d’étude I ,BUREAETUD,BUREAU DETUDE,45,30,0,0,30.0
semestre2,BAT,Bâtiment,01,BAT1232,Ouvrage D’art,OUVRAGART,Ouvrage Art,30,20,0,0,20.0
semestre2,BAT,Bâtiment,01,BAT1241,Topographie I ,TOPOGRAP1,Topographie I,45,30,0,0,30.0
semestre2,BAT,Bâtiment,01,BAT1251,Béton armé I,BETOARME1,Béton armé I,30,20,0,0,20.0
semestre2,BAT,Bâtiment,01,BAT1261,Géotechnique ,GEOTECHN,Géotechnique,45,30,20,12,18.0
semestre1,BAT,Bâtiment,01,XXX0103,Dessin et technologie de bâtiment ,DESSINTE1,Dessin technique I,60,40,0,0,40.0
semestre1,BAT,Bâtiment,01,XXX0104,Education civique et éthique ,DROITCIVI,Droit civil,15,12,0,0,12.0
semestre2,BAT,Bâtiment,01,XXX0105,Entreprenariat ,ENTREPREN,Entreprenariat,60,40,0,0,40.0
semestre1,BAT,Bâtiment,01,XXX0106,Résistance des matériaux I ,RESISMAT1,Résistance des matériaux I,60,40,36,28,12.0
semestre2,BAT,Bâtiment,01,XXX0107,Résistance des matériaux II ,RESISMAT2,Résistance des matériaux II,45,30,4,0,30.0
semestre1,BAT,Bâtiment,01,XXX0228,Dessin de base ,DESSIBASE,Dessin de Base,45,30,40,20,10.0
semestre2,BAT,Bâtiment,01,XXX0239,Atelier Orientation,ATELORIENT,Atelier Orientation,15,12,8,0,12.0
semestre1,BOW,Boiler Making And Welding,01,BOW1111,Engineering Mathematics I,ENGIMATH1,Engineering Mathematics I,75,50,8,8,42.0
semestre1,BOW,Boiler Making And Welding,01,BOW1112,General Computing I,GENECOMP1,General Computing 1,15,12,20,20,-8.0
semestre1,BOW,Boiler Making And Welding,01,BOW1114,General Mathematics I,GENEMATH1,General Mathematics 1,15,12,8,8,4.0
semestre1,BOW,Boiler Making And Welding,01,BOW1171,English,ENGLISH,English,22,15,0,0,15.0
semestre1,BOW,Boiler Making And Welding,01,BOW1172,French,FRENCH,French,22,15,16,11,4.0
semestre2,BOW,Boiler Making And Welding,01,BOW1211,Engineering Mathematics II,ENGIMATH2,Engineering Mathematics II,75,50,0,0,50.0
semestre1,BOW,Boiler Making And Welding,01,BOW1273,Strength of materials I,STRENMAT1,Strength of materials I,30,20,0,0,20.0
semestre1,BOW,Boiler Making And Welding,01,BOW2222,Practical work ICT,PRAWORICT,Practical Work ICT,100,100,4,0,100.0
semestre1,BOW,Boiler Making And Welding,02,BOW2311,Engineering Mathematics III ,ENGIMATH3,Engineering Mathematics III,60,40,0,0,40.0
semestre1,BOW,Boiler Making And Welding,02,BOW2322,Computer Programming,COMPUPROG,Computer Programming,30,20,0,0,20.0
semestre1,BOW,Boiler Making And Welding,02,BOW2323,"Basics of Quality, Health, Safety and Environment ",QHSE,QHSE anglais,30,20,0,0,20.0
semestre1,BOW,Boiler Making And Welding,02,BOW2331,Computer Aided Manufacturing I,COMAIDMA2,Computer Aided Manufacturing II,30,20,0,0,20.0
semestre1,BOW,Boiler Making And Welding,02,BOW2353,P machining II,PMACHINI2,P machining II,30,20,0,0,20.0
semestre1,BOW,Boiler Making And Welding,02,BOW2362,Applied mechanics I,APPMECHA2,Applied mechanics II,45,30,0,0,30.0
semestre1,BOW,Boiler Making And Welding,02,BOW2372,Enterpreneuriatship,ENTREPSHI,Enterpreneuriatship,15,12,0,0,12.0
semestre1,BOW,Boiler Making And Welding,02,BOW2373,Methodology of drafting the internship report,INTERSHIP,INTERSHIP,15,12,0,0,12.0
semestre2,BOW,Boiler Making And Welding,02,BOW2421,Physics I,PHYSICS1,Physics I,45,30,0,0,30.0
semestre2,BOW,Boiler Making And Welding,02,BOW2472,Ingineering Management Law and Economics,ECONOMICS,Economics,30,20,0,0,20.0
semestre2,BOW,Boiler Making And Welding,02,BOW2473,Labor law,LABORLAW,Labour Law,15,12,0,0,12.0
semestre1,BST,Building Science And Technology ,01,BST1111,Mathematics I,GENEMATH1,General Mathematics 1,60,40,48,28,12.0
semestre1,BST,Building Science And Technology ,01,BST1121,Physics I,PHYSICS1,Physics I,45,30,48,28,2.0
semestre1,BST,Building Science And Technology ,01,BST1122,Chemistry,CHEMISTRY,Chemistry,30,20,56,24,-4.0
semestre1,BST,Building Science And Technology ,01,BST1131,General construction processes I,GENERCONS,General Construction,45,30,52,24,6.0
semestre1,BST,Building Science And Technology ,01,BST1133,ICT,ICT,ICT,22,15,0,0,15.0
semestre1,BST,Building Science And Technology ,01,BST1141,Design and technology of building,DESIGNTEC,Design and technology,45,30,44,18,12.0
semestre1,BST,Building Science And Technology ,01,BST1151,Organization of work sites ,ORGOFWORK,ORGANISATION OF WORK SITES,60,40,60,37,3.0
semestre1,BST,Building Science And Technology ,01,BST1161,Architecture,ARCHITECT,Architecture,60,40,0,0,40.0
semestre1,BST,Building Science And Technology ,01,BST1162,Resistance of Materials I,RESISMTER,Resistance of Materials I,60,40,48,30,10.0
semestre1,BST,Building Science And Technology ,01,BST1171,English,ENGLISH,English,22,15,28,9,6.0
semestre1,BST,Building Science And Technology ,01,BST1172,French ,FRENCH,French,22,15,4,1,14.0
semestre2,BST,Building Science And Technology ,01,BST1211,Mathematics II,MATMATIC2,Mathematics II,60,40,0,0,40.0
semestre2,BST,Building Science And Technology ,01,BST1221,Computer Science I,COMPSCIEN,Computer Science I,75,50,0,0,50.0
semestre2,BST,Building Science And Technology ,01,BST1231,Reinforced concrete Projects ,PROJACADE,Projet académique,45,30,0,0,30.0
semestre2,BST,Building Science And Technology ,01,BST1241,Topography I,TOPOGPHY1,Topography I,45,30,0,0,30.0
semestre2,BST,Building Science And Technology ,01,BST1242,travaux pratique,TRAVPRATQ,Travaux Pratiques,20,12,0,0,12.0
semestre2,BST,Building Science And Technology ,01,BST1251,Reinforced concrete I,REINCONCR,Reinforced concrete I,60,40,0,0,40.0
semestre2,BST,Building Science And Technology ,01,BST1261,Geotechnical Engineering,GEOTECHNI,Geotechnical Engineering,45,30,0,0,30.0
semestre2,BST,Building Science And Technology ,01,BST1262,Resistance of Materials II,RESMATERI,Resistance of Material II,45,30,0,0,30.0
semestre2,BST,Building Science And Technology ,01,BST1272,Civic and Moral Education,LABORLAW,Labour Law,30,20,0,0,20.0
semestre1,BST,Building Science And Technology ,01,BST1371,Methodology of drafting the internship report,INTERSHIP,INTERSHIP,22,15,0,0,15.0
semestre1,BST,Building Science And Technology ,02,BST2133,ICT,ICT,ICT,22,15,12,11,4.0
semestre1,BST,Building Science And Technology ,02,BST2172,French ,FRENCH,French,22,15,8,8,7.0
semestre1,BST,Building Science And Technology ,02,BST2311,Mathematics III,MATMATIC3,Mathematics III,60,40,4,4,36.0
semestre1,BST,Building Science And Technology ,02,BST2321,Physics III ,PHYSICS3,Physics III,45,30,0,0,30.0
semestre1,BST,Building Science And Technology ,02,BST2322,"Basics of Quality, Health, Safety and Environment ",QHSE,QHSE anglais,30,20,0,0,20.0
semestre1,BST,Building Science And Technology ,02,BST2333,Schémas électriques et commande,SCHEMAELE,Schémas électrique,40,25,0,0,25.0
semestre2,BST,Building Science And Technology ,02,BST2452,Topography II,TOPOGPHY2,Topography II,30,20,0,0,20.0
semestre2,BST,Building Science And Technology ,02,BST2472,Economics,ECONOMICS,Economics,30,20,0,0,20.0
semestre1,BST,Building Science And Technology ,01,XXX0030,"Warm welcome, Guiding and Conseilling",WELCOME,"Warm welcome, Guiding and Conseilling",8,8,0,0,8.0
semestre1,BST,Building Science And Technology ,02,XXX0031,"Warm welcome, Guiding and Conseilling",WELCOME,"Warm welcome, Guiding and Conseilling",8,8,8,0,8.0
