codmes,codfil,libfil,codniv,codmin,libmin,codisu,libisu,budmin,budisu,budget,realise,ecart
semestre2,ACC,Business And Finance,01,ACC1271,English Expression,ENGLISH,English,15,12,24,16,-4.0
semestre2,ACC,Business And Finance,01,XXX0157,Statistics II,STATSTIC1,Statistics I,30,20,32,24,-4.0
semestre1,ACC,Business And Finance,01,XXX0159,ICT for logistics,ICT,ICT,15,12,32,16,-4.0
semestre1,AFI,Accounting And Finance,01,AFI1112,General Computing I,GENECOMP1,General Computing 1,15,12,20,20,-8.0
semestre1,AFI,Accounting And Finance,01,AFI1114,General Mathematics I,GENEMATH1,General Mathematics 1,15,12,24,20,-8.0
semestre1,BAT,Bâtiment,01,BAT1151,Organisation des chantiers ,ORGCHANTI,Organisation des chantiers,45,30,40,32,-2.0
semestre1,BOW,Boiler Making And Welding,01,BOW1112,General Computing I,GENECOMP1,General Computing 1,15,12,20,20,-8.0
semestre1,BST,Building Science And Technology ,01,BST1122,Chemistry,CHEMISTRY,Chemistry,30,20,56,24,-4.0
semestre1,BTSET,Electro Technique,01,ELT1132,Circuits électriques ,CIRELECTR,Circuits électriques,30,20,44,35,-15.0
semestre1,BTSET,Electro Technique,01,ELT1152,Electronique analogique I ,ELECTANA1,Electronique Analogique 1,30,20,32,26,-6.0
semestre1,BTSET,Electro Technique,01,ELT1171,Techniques d’expression française ,FRANCAIS2,Francais,15,12,16,16,-4.0
semestre2,BTSET,Electro Technique,01,ELT1251,Electronique numérique I ,ELECNUME1,Electronique numérique I,15,12,44,33,-21.0
semestre1,BTSET,Electro Technique,02,ELT2321,Physiques III ,PHYSIQUE3,Physiques III,30,20,68,24,-4.0
semestre1,BTSET,Electro Technique,02,ELT2341,Machines électriques 2 ,MACHIELEC,Machine Electrique 2,45,30,52,32,-2.0
semestre1,BTSET,Electro Technique,02,ELT2342,Automatismes 2 ,AUTOMATI2,Automatisme II,30,20,32,24,-4.0
semestre2,BTSET,Electro Technique,02,ELT2431,Asservissements ,ASSERVISS,Asservissements,45,30,76,31,-1.0
semestre1,BTSET,Electro Technique,02,XXX0055,Comptabilité analytique/gene,COMPTAGE1,Comptabilité générale I,30,20,32,23,-3.0
semestre1,BTSET,Electro Technique,02,XXX0057,Electronique III + TP,ELECTRONF3,Electronique 3,30,20,72,30,-10.0
semestre1,BTSET,Electro Technique,02,XXX0060,Méthodologie de la rédaction du rapport de stage,METHREDRS,Méthodologie de rédaction du rapport de stage,100,12,20,17,-5.0
semestre1,CFPACB,Aide Chimiste Biologiste,01,CFPACB15,Secourisme,SECOURISM,Secourisme,22,15,20,16,-1.0
semestre1,CFPACB,Aide Chimiste Biologiste,01,CFPACB30,Virologie – VIH/SIDA,VIROLOGIE,Virologie – VIH/SIDA,22,15,28,16,-1.0
semestre1,CFPACB,Aide Chimiste Biologiste,01,XXX0204,Physiques,PHYSIQUES,Physiques,20,12,20,18,-6.0
semestre1,CFPACB,Aide Chimiste Biologiste,01,XXX0206,Concepts et théories infirmières,CONTHESCI,Concept et théorie et science infirmière ,20,12,24,20,-8.0
semestre1,CFPACB,Aide Chimiste Biologiste,01,XXX0207,Concepts et théories infirmières,CONTHESCI,Concept et théorie et science infirmière ,20,12,24,20,-8.0
semestre2,CFPACM,Assistant en Cabinet Médical,01,CFPACM12,Déontologie,ETHIQDEON,Ethique et déonthologie,35,12,48,21,-9.0
semestre1,CFPACM,Assistant en Cabinet Médical,01,XXX0205,Physiques,PHYSIQUES,Physiques,20,12,20,18,-6.0
semestre1,CGE,Comptabilité Et Gestion Entreprises,01,CGE1162,Comptabilité assistée par l’ordinateur I ,CPTASSOR1,Comptabilité assistée par l’ordinateur I,30,20,24,24,-4.0
