codmes,codsem,typjour,jour,codpro,budget,realise,ecart
semestre2,S050126-110126,Jeudi,04,ADMINISTR,8,0,8.0
semestre2,S050126-110126,Jeudi,04,CHBRUKO,4,0,4.0
semestre2,S050126-110126,Jeudi,04,CHGOMA,8,0,8.0
semestre2,S050126-110126,Jeudi,04,DENDIFON,8,6,2.0
semestre2,S050126-110126,Jeudi,04,DETATCHUM,8,8,0.0
semestre2,S050126-110126,Jeudi,04,FOWAFFO,8,8,0.0
semestre2,S050126-110126,Jeudi,04,HANGOMSI,8,7,1.0
semestre2,S050126-110126,Jeudi,04,HUCHEDJOU,8,8,0.0
semestre2,S050126-110126,Jeudi,04,JOKAMGA,4,0,4.0
semestre2,S050126-110126,Jeudi,04,JOTINTCHOU,4,0,4.0
semestre2,S050126-110126,Jeudi,04,MADJONGOU,8,0,8.0
semestre2,S050126-110126,Jeudi,04,NAMBALIDAM,8,8,0.0
semestre2,S050126-110126,Jeudi,04,ROMASSOG,8,0,8.0
semestre2,S050126-110126,Jeudi,04,ZIKOM,4,0,4.0
semestre2,S050126-110126,Lundi,01,ADMINISTR,8,0,8.0
semestre2,S050126-110126,Lundi,01,AUTCHENTE,8,8,0.0
semestre2,S050126-110126,Lundi,01,BIWALVEDE,4,0,4.0
semestre2,S050126-110126,Lundi,01,CHBRUKO,4,0,4.0
semestre2,S050126-110126,Lundi,01,CHGOMA,8,6,2.0
semestre2,S050126-110126,Lundi,01,DAYONZO,8,8,0.0
semestre2,S050126-110126,Lundi,01,DETATCHUM,4,4,0.0
semestre2,S050126-110126,Lundi,01,FRHAIDAMAI,4,0,4.0
semestre2,S050126-110126,Lundi,01,FRNGANGYOU,8,8,0.0
semestre2,S050126-110126,Lundi,01,JUMALAVAYE,8,8,0.0
semestre2,S050126-110126,Lundi,01,MADJONGOU,8,0,8.0
semestre2,S050126-110126,Lundi,01,STTSAMO,8,8,0.0
semestre2,S050126-110126,Lundi,01,ZIKOM,4,0,4.0
semestre2,S050126-110126,Mardi,02,ADMINISTR,4,0,4.0
semestre2,S050126-110126,Mardi,02,CATAMNE,8,0,8.0
semestre2,S050126-110126,Mardi,02,DENDIFON,8,4,4.0
semestre2,S050126-110126,Mardi,02,FREDA,4,0,4.0
semestre2,S050126-110126,Mardi,02,FRLENOU,4,0,4.0
semestre2,S050126-110126,Mardi,02,GATCHAKOUTIO,4,4,0.0
semestre2,S050126-110126,Mardi,02,HANGOMSI,8,7,1.0
semestre2,S050126-110126,Mardi,02,HUCHEDJOU,8,8,0.0
semestre2,S050126-110126,Mardi,02,JOKAMGA,8,0,8.0
semestre2,S050126-110126,Mardi,02,JOTINTCHOU,4,0,4.0
semestre2,S050126-110126,Mardi,02,KUFOTSO,8,6,2.0
semestre2,S050126-110126,Mardi,02,MADJONGOU,8,0,8.0
semestre2,S050126-110126,Mardi,02,NAMBALIDAM,8,8,0.0
semestre2,S050126-110126,Mardi,02,ROMBAKMENE,4,3,1.0
semestre2,S050126-110126,Mardi,02,STTSAMO,8,8,0.0
semestre2,S050126-110126,Mardi,02,XXTALLA,4,0,4.0
semestre2,S050126-110126,Mardi,02,YODIAPNADA,8,7,1.0
semestre2,S050126-110126,Mardi,02,YVFOTSO,8,7,1.0
