codsem,Libsem,codniv,codfil1,libfil1,codfil2,libfil2,codfil3,libfil3,codfil4,libfil4,codfil5,libfil5,codfil6,libfil6,codfil7,libfil7,codfil8,libfil8,typjour,ordtypjour,fourche,ordfourche1,fourche1,valfil1,valfil2,valfil3,valfil4,valfil5,valfil6,valfil7,valfil8,lapage
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Lundi,01,08H-12H,01,08H-12H,M. DJONGOU,M. FOTSO,M. DJONGOU,M. FOTSO,M. WAFFO,Dr EKINLEH,M. HAPPY,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Lundi,01,08H-12H,02,-Matière,TECHNIQUE DE MESURE,Physics,TECHNIQUE DE MESURE,Physics,Biostatistics,Planning care,Cycle de vie,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Lundi,01,08H-12H,03,-Salle,ETA402,RDC02,ETA402,RDC02,ETA401,ETA204,ETA102,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Lundi,01,13H-17H,01,13H-17H,M. DJONGOU,M. FOTSO,M. DJONGOU,M. FOTSO,M. WAFFO,Dr EKINLEH,M. HAPPY,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Lundi,01,13H-17H,02,-Matière,TECHNIQUE DE MESURE,Physics,TECHNIQUE DE MESURE,Physics,Biostatistics,Planning care,Cycle de vie,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Lundi,01,13H-17H,03,-Salle,ETA402,RDC02,ETA402,RDC02,ETA401,ETA204,ETA102,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Mardi,02,08H-12H,01,08H-12H,M. MASSOG,M. WAFFO,M. MBA,M. WAFFO,M. NGOMSI,M. NGOMSI,M. HAPPY,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Mardi,02,08H-12H,02,-Matière,TECHNOLOGIE DE CONSTRUCTION,Mathematics II,Electrotechnique I,Mathematics II,TIC,TIC,Biologie cellulaire,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Mardi,02,08H-12H,03,-Salle,ETA102,ETA401,RDC03,ETA401,ETA204,ETA204,ETA402,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,01,BTSET,Electro technique,BUI,Building construction,FC,Froid et climatisation,HNDET,Electro technik,LAB,Laboratoire technique Anglais,NUS,Nursing,SI,Soins Infirmiers,-,-,Mardi,02,13H-17H,01,13H-17H,M. NGAKO,M. WAFFO,M. MBA,M. WAFFO,,Mme TCHUENTE,M. HAPPY,,1
